cluster_id,centroid_lat,centroid_lon,n_points,aqi_mean,aqi_max,pm25_mean,pm25_max,no2_mean,no2_max,o3_mean,o3_max,co_mean,co_max
10,18.07892,-77.0659,5,82.8,106,81.8,106,2.6,3,22.8,36,1.0,1
50,8.776660000000001,38.75666,5,80.2,102,80.2,102,0.0,0,24.6,26,1.0,1
9,40.5915625,69.820475,8,78.875,109,76.0,109,1.875,12,45.375,64,1.0,1
5,16.285346153846152,80.15337692307692,13,75.84615384615384,112,75.84615384615384,112,0.3076923076923077,2,35.46153846153846,49,1.0,1
0,18.914414999999998,-70.906255,20,73.75,114,73.75,114,2.9,10,20.7,39,1.0,1
18,32.184036363636366,34.99670909090909,22,71.5,93,70.86363636363636,93,3.6363636363636362,7,47.09090909090909,62,1.0,1
11,39.6696,2.9295,5,65.2,101,57.8,101,0.4,1,45.8,49,1.0,1
19,10.5111125,-61.4166625,8,63.5,93,63.5,93,3.875,7,23.0,40,1.0,1
16,28.27325,-105.56731666666667,6,63.5,94,59.0,94,0.3333333333333333,1,30.333333333333332,42,1.0,1
3,18.3452125,-66.2854375,8,62.875,113,62.875,113,1.25,4,15.75,25,1.0,1
31,19.2249375,-96.880075,8,62.0,82,62.0,82,1.5,5,24.25,32,1.0,1
12,-7.40195,110.32993333333333,24,61.833333333333336,99,61.833333333333336,99,0.375,3,33.208333333333336,46,1.0,1
15,6.915744999999999,100.292175,20,61.3,96,61.3,96,0.15,2,29.75,38,1.0,1
60,41.75444,60.42134,5,61.2,69,61.2,69,0.6,3,40.6,44,1.0,1
4,21.886301851851854,-79.54232592592592,54,61.111111111111114,112,60.53703703703704,112,1.6111111111111112,8,23.75925925925926,43,1.0,1
37,14.075629166666667,100.75797916666666,24,58.625,73,58.625,73,0.8333333333333334,2,25.041666666666668,30,1.0,1
27,38.0841375,41.30614375,16,58.1875,88,54.875,88,0.625,3,38.0,56,1.0,1
39,35.2687,-106.41954285714284,7,58.142857142857146,73,58.142857142857146,73,5.285714285714286,10,23.0,30,1.0,1
59,-20.219866666666665,57.56995,6,57.666666666666664,61,56.833333333333336,61,0.16666666666666666,1,32.333333333333336,59,1.0,1
22,6.808336363636363,80.83993636363635,11,57.54545454545455,89,57.54545454545455,89,1.4545454545454546,4,23.0,40,1.0,1
17,12.206836842105263,77.28458210526317,95,57.21052631578947,97,56.94736842105263,97,1.2210526315789474,6,28.08421052631579,59,1.0,1
21,8.539619672131147,-0.6407967213114754,61,57.0,89,57.0,89,0.2459016393442623,3,22.34426229508197,39,1.0,1
47,3.4840400000000002,31.60345,10,56.7,74,56.7,74,0.0,0,17.7,22,1.0,1
52,9.216633333333332,3.1860999999999997,3,56.666666666666664,66,56.666666666666664,66,0.0,0,30.666666666666668,37,1.0,1
51,-15.260783333333334,35.208416666666665,6,56.5,64,56.5,64,0.0,0,21.0,23,1.0,1
35,0.38612857142857143,30.35574285714286,7,56.285714285714285,78,56.285714285714285,78,0.2857142857142857,2,21.0,48,1.0,1
54,24.80922,121.42382,5,56.0,63,56.0,63,2.4,8,43.6,49,1.0,1
20,39.82346896551724,-104.7906275862069,29,55.37931034482759,91,54.58620689655172,91,4.827586206896552,11,27.862068965517242,49,1.0,1
32,33.03902333333333,-111.43636666666666,30,54.766666666666666,81,54.766666666666666,81,5.866666666666666,12,19.366666666666667,31,1.0,1
30,34.17428888888889,-102.20637777777777,18,54.72222222222222,82,54.72222222222222,82,1.5,5,27.77777777777778,34,1.0,1
1,12.397925714285716,122.76054771428572,350,54.23428571428571,113,53.69714285714286,113,1.1342857142857143,8,22.062857142857144,49,1.0,1
33,25.31616,-100.15526,5,54.0,80,54.0,80,2.4,6,16.0,24,1.0,1
80,25.370240000000003,85.6928,5,53.8,65,50.2,65,0.6,2,30.4,39,1.0,1
34,40.16862727272727,8.923331818181818,22,53.72727272727273,79,45.13636363636363,79,1.6818181818181819,5,41.68181818181818,63,1.0,1
28,10.38763076923077,-67.07241538461538,13,53.69230769230769,86,53.69230769230769,86,2.6153846153846154,6,25.76923076923077,43,1.0,1
64,15.28662,104.93238000000001,5,52.2,58,52.2,58,0.0,0,26.4,29,1.0,1
